Label,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Precision,Recall,F-measure
Age,120,492,8,10,0.9375,0.9230769230769231,0.9302325581395349
Gender,117,481,15,17,0.8863636363636364,0.8731343283582089,0.8796992481203008
Physical,108,473,9,40,0.9230769230769231,0.7297297297297297,0.8150943396226416
Race,96,510,11,13,0.897196261682243,0.8807339449541285,0.8888888888888888
Religion,112,509,7,2,0.9411764705882353,0.9824561403508771,0.9613733905579399
Others,79,512,22,17,0.7821782178217822,0.8229166666666666,0.8020304568527918
